consumer_id,library_id,direct,qualifier,parent_id
github|finos|rune-testing,maven|org.finos.rune|rune-lang|10.0.0-dev.17,1,runtime,
github|finos|rune-testing,maven|org.finos.rune|rune-testing|10.0.0-dev.17,1,runtime,
github|finos|rune-testing,maven|org.finos.rune-common|rune-common|0.0.0.main-SNAPSHOT,1,runtime,
github|finos|rune-testing,maven|com.google.inject|guice|6.0.0,1,runtime,
github|finos|rune-testing,maven|org.eclipse.xtext|xtext-dev-bom|2.38.0,1,runtime,
github|finos|rune-testing,maven|org.junit|junit-bom|5.9.1,1,runtime,
github|finos|rune-testing,maven|javax.xml.bind|jaxb-api|2.3.1,1,runtime,
github|finos|rune-testing,maven|org.glassfish.jaxb|jaxb-runtime|2.3.1,1,runtime,
github|finos|rune-testing,maven|com.google.guava|guava|33.3.1-jre,1,runtime,
github|finos|rune-testing,maven|org.junit.jupiter|junit-jupiter-api|5.9.1,1,runtime,
github|finos|rune-testing,maven|org.junit.jupiter|junit-jupiter-engine|5.9.1,1,runtime,
github|finos|rune-testing,maven|org.mockito|mockito-bom|5.12.0,1,runtime,
github|finos|rune-testing,maven|org.hamcrest|hamcrest|2.2,1,runtime,
github|finos|rune-testing,maven|co.unruly|java-8-matchers|1.6,1,runtime,
github|finos|rune-testing,maven|org.jetbrains.kotlin|kotlin-stdlib-jdk8|1.7.21,1,runtime,
github|finos|rune-testing,maven|org.jetbrains.kotlin|kotlin-test-junit|1.7.21,1,runtime,
github|finos|rune-testing,maven|ch.qos.logback|logback-classic|1.5.25,1,runtime,
github|finos|rune-testing,maven|ch.qos.logback|logback-core|1.5.25,1,runtime,
github|finos|rune-testing,maven|org.finos.rune|rune-lang|unspecified,1,runtime,
github|finos|rune-testing,maven|org.finos.rune|rune-testing|unspecified,1,runtime,
github|finos|rune-testing,maven|org.finos.rune-common|rune-common|unspecified,1,runtime,
github|finos|rune-testing,maven|javax.xml.bind|jaxb-api|unspecified,1,runtime,
github|finos|rune-testing,maven|org.glassfish.jaxb|jaxb-runtime|unspecified,1,runtime,
github|finos|rune-testing,maven|org.junit.jupiter|junit-jupiter|unspecified,1,runtime,
github|finos|rune-testing,maven|org.mockito|mockito-core|unspecified,1,runtime,
github|finos|rune-testing,maven|org.mockito|mockito-junit-jupiter|unspecified,1,runtime,
github|finos|rune-testing,maven|co.unruly|java-8-matchers|unspecified,1,runtime,
github|finos|rune-testing,maven|org.hamcrest|hamcrest|unspecified,1,runtime,
github|finos|rune-testing,maven|org.jetbrains.kotlin|kotlin-test-junit|unspecified,1,runtime,
github|finos|rune-testing,maven|ch.qos.logback|logback-classic|unspecified,1,runtime,
github|finos|rune-testing,maven|ch.qos.logback|logback-core|unspecified,1,runtime,
github|finos|fluxnova-examples,oci|docker.io/library|amazoncorretto|21.0.10,1,runtime,
github|finos|fluxnova-examples,maven|org.springframework.boot|spring-boot-dependencies|3.4.4,1,runtime,
github|finos|fluxnova-examples,maven|org.finos.fluxnova.bpm|fluxnova-bom|2.0.0,1,runtime,
github|finos|fluxnova-examples,maven|org.finos.fluxnova.bpm.springboot|fluxnova-bpm-spring-boot-starter-rest|unspecified,1,runtime,
github|finos|fluxnova-examples,maven|org.finos.fluxnova.connect|fluxnova-connect-bom|2.0.0,1,runtime,
github|finos|fluxnova-examples,maven|org.finos.fluxnova.bpm.springboot|fluxnova-bpm-spring-boot-starter-webapp|2.0.0,1,runtime,
github|finos|fluxnova-examples,maven|org.finos.fluxnova.connect|fluxnova-connect-http-client|2.0.0,1,runtime,
github|finos|fluxnova-examples,maven|org.finos.fluxnova.connect|fluxnova-connect-soap-http-client|2.0.0,1,runtime,
github|finos|fluxnova-examples,maven|org.finos.fluxnova.bpm|fluxnova-engine-plugin-connect|2.0.0,1,runtime,
github|finos|fluxnova-examples,maven|org.finos.fluxnova.bpm|fluxnova-engine-plugin-spin|2.0.0,1,runtime,
github|finos|fluxnova-examples,maven|org.finos.fluxnova.spin|fluxnova-spin-dataformat-all|2.0.0,1,runtime,
github|finos|fluxnova-examples,maven|com.h2database|h2|unspecified,1,runtime,
github|finos|fluxnova-examples,maven|org.springframework.boot|spring-boot-starter-jdbc|unspecified,1,runtime,
github|finos|fluxnova-examples,maven|org.springframework.boot|spring-boot-starter-actuator|unspecified,1,runtime,
